         4         1  0.50000000000000E+01
         8         2  0.50000000000000E+01
        12         3  0.50000000000000E+01
        16         4  0.50000000000000E+01
        20         5  0.50000000000000E+01
        24         6  0.50000000000000E+01
        28         7  0.50000000000000E+01
        32         8  0.50000000000000E+01
        36         9  0.50000000000000E+01
        40        10  0.50000000000000E+01
        44        11  0.50000000000000E+01
        48        12  0.50000000000000E+01
        52        13  0.50000000000000E+01
        56        14  0.50000000000000E+01
        60        15  0.50000000000000E+01
        64        16  0.50000000000000E+01
        68        17  0.50000000000000E+01
        72        18  0.50000000000000E+01
        76        19  0.50000000000000E+01
        80        20  0.50000000000000E+01
        84        21  0.50000000000000E+01
        88        22  0.50000000000000E+01
        92        23  0.50000000000000E+01
        96        24  0.50000000000000E+01
       100        25  0.50000000000000E+01
