 #level   step     block  iter  sweep   residual
  1         4         1     0     1 -0.10000000000000E+01
  1         4         1     1     1  0.22248616856897E+05
  1         4         1     2     1  0.22248616857018E+05
  1         4         1     3     1  0.22248616857018E+05
  1         4         1     4     1  0.22248616857018E+05
  1         4         1     5     1  0.22248616857018E+05
  1         8         2     0     1 -0.10000000000000E+01
  1         8         2     1     1  0.79256683544008E+04
  1         8         2     2     1  0.79256683544093E+04
  1         8         2     3     1  0.79256683544094E+04
  1         8         2     4     1  0.79256683544093E+04
  1         8         2     5     1  0.79256683544093E+04
  1        12         3     0     1 -0.10000000000000E+01
  1        12         3     1     1  0.43511850486660E+04
  1        12         3     2     1  0.43511850486885E+04
  1        12         3     3     1  0.43511850486885E+04
  1        12         3     4     1  0.43511850486886E+04
  1        12         3     5     1  0.43511850486885E+04
  1        16         4     0     1 -0.10000000000000E+01
  1        16         4     1     1  0.28023930268692E+04
  1        16         4     2     1  0.28023930268854E+04
  1        16         4     3     1  0.28023930268853E+04
  1        16         4     4     1  0.28023930268853E+04
  1        16         4     5     1  0.28023930268852E+04
  1        20         5     0     1 -0.10000000000000E+01
  1        20         5     1     1  0.19869727780135E+04
  1        20         5     2     1  0.19869727780309E+04
  1        20         5     3     1  0.19869727780308E+04
  1        20         5     4     1  0.19869727780308E+04
  1        20         5     5     1  0.19869727780310E+04
  1        24         6     0     1 -0.10000000000000E+01
  1        24         6     1     1  0.15024360355453E+04
  1        24         6     2     1  0.15024360355612E+04
  1        24         6     3     1  0.15024360355612E+04
  1        24         6     4     1  0.15024360355612E+04
  1        24         6     5     1  0.15024360355612E+04
  1        28         7     0     1 -0.10000000000000E+01
  1        28         7     1     1  0.11881064000114E+04
  1        28         7     2     1  0.11881064000225E+04
  1        28         7     3     1  0.11881064000224E+04
  1        28         7     4     1  0.11881064000226E+04
  1        28         7     5     1  0.11881064000224E+04
  1        32         8     0     1 -0.10000000000000E+01
  1        32         8     1     1  0.97022677991931E+03
  1        32         8     2     1  0.97022677992548E+03
  1        32         8     3     1  0.97022677992551E+03
