         3         1  0.50000000000000E+01
         7         2  0.50000000000000E+01
        11         3  0.50000000000000E+01
        15         4  0.50000000000000E+01
        19         5  0.50000000000000E+01
        23         6  0.50000000000000E+01
        27         7  0.50000000000000E+01
        31         8  0.50000000000000E+01
        35         9  0.50000000000000E+01
        39        10  0.50000000000000E+01
        43        11  0.50000000000000E+01
        47        12  0.50000000000000E+01
        51        13  0.50000000000000E+01
        55        14  0.50000000000000E+01
        59        15  0.50000000000000E+01
        63        16  0.50000000000000E+01
        67        17  0.50000000000000E+01
        71        18  0.50000000000000E+01
        75        19  0.50000000000000E+01
        79        20  0.50000000000000E+01
        83        21  0.50000000000000E+01
        87        22  0.50000000000000E+01
        91        23  0.50000000000000E+01
        95        24  0.50000000000000E+01
        99        25  0.50000000000000E+01
