 #level   step     block  iter  sweep   residual
  1         3         1     0     1 -0.10000000000000E+01
  1         3         1     1     1  0.38218322650528E+05
  1         3         1     2     1  0.38218322650467E+05
  1         3         1     3     1  0.38218322650467E+05
  1         3         1     4     1  0.38218322650467E+05
  1         3         1     5     1  0.38218322650467E+05
  1         7         2     0     1 -0.10000000000000E+01
  1         7         2     1     1  0.96234570094762E+04
  1         7         2     2     1  0.96234570095041E+04
  1         7         2     3     1  0.96234570095039E+04
  1         7         2     4     1  0.96234570095040E+04
  1         7         2     5     1  0.96234570095039E+04
  1        11         3     0     1 -0.10000000000000E+01
  1        11         3     1     1  0.49683433885568E+04
  1        11         3     2     1  0.49683433885803E+04
  1        11         3     3     1  0.49683433885803E+04
  1        11         3     4     1  0.49683433885803E+04
  1        11         3     5     1  0.49683433885803E+04
  1        15         4     0     1 -0.10000000000000E+01
  1        15         4     1     1  0.30975802286476E+04
  1        15         4     2     1  0.30975802286603E+04
  1        15         4     3     1  0.30975802286604E+04
  1        15         4     4     1  0.30975802286604E+04
  1        15         4     5     1  0.30975802286604E+04
  1        19         5     0     1 -0.10000000000000E+01
  1        19         5     1     1  0.21513945716293E+04
  1        19         5     2     1  0.21513945716447E+04
  1        19         5     3     1  0.21513945716447E+04
  1        19         5     4     1  0.21513945716445E+04
  1        19         5     5     1  0.21513945716446E+04
  1        23         6     0     1 -0.10000000000000E+01
  1        23         6     1     1  0.16040137097600E+04
  1        23         6     2     1  0.16040137097741E+04
  1        23         6     3     1  0.16040137097740E+04
  1        23         6     4     1  0.16040137097742E+04
  1        23         6     5     1  0.16040137097742E+04
  1        27         7     0     1 -0.10000000000000E+01
  1        27         7     1     1  0.12559452757514E+04
  1        27         7     2     1  0.12559452757621E+04
  1        27         7     3     1  0.12559452757620E+04
  1        27         7     4     1  0.12559452757620E+04
  1        27         7     5     1  0.12559452757620E+04
  1        31         8     0     1 -0.10000000000000E+01
  1        31         8     1     1  0.10182766902182E+04
  1        31         8     2     1  0.10182766902247E+04
  1        31         8     3     1  0.10182766902247E+04
  1        31         8     4     1  0.10182766902247E+04
  1        31         8     5     1  0.10182766902247E+04
  1        35         9     0     1 -0.10000000000000E+01
  1        35         9     1     1  0.84708954824675E+03
  1        35         9     2     1  0.84708954824988E+03
  1        35         9     3     1  0.84708954824991E+03
  1        35         9     4     1  0.84708954824993E+03
  1        35         9     5     1  0.84708954824991E+03
  1        39        10     0     1 -0.10000000000000E+01
  1        39        10     1     1  0.71874998406000E+03
  1        39        10     2     1  0.71874998406319E+03
  1        39        10     3     1  0.71874998406316E+03
  1        39        10     4     1  0.71874998406321E+03
  1        39        10     5     1  0.71874998406331E+03
  1        43        11     0     1 -0.10000000000000E+01
  1        43        11     1     1  0.61952986060949E+03
  1        43        11     2     1  0.61952986061145E+03
  1        43        11     3     1  0.61952986061150E+03
  1        43        11     4     1  0.61952986061150E+03
  1        43        11     5     1  0.61952986061147E+03
  1        47        12     0     1 -0.10000000000000E+01
  1        47        12     1     1  0.54092519015131E+03
  1        47        12     2     1  0.54092519015268E+03
  1        47        12     3     1  0.54092519015267E+03
  1        47        12     4     1  0.54092519015263E+03
  1        47        12     5     1  0.54092519015271E+03
  1        51        13     0     1 -0.10000000000000E+01
  1        51        13     1     1  0.47739380307005E+03
  1        51        13     2     1  0.47739380307049E+03
  1        51        13     3     1  0.47739380307052E+03
  1        51        13     4     1  0.47739380307054E+03
  1        51        13     5     1  0.47739380307051E+03
  1        55        14     0     1 -0.10000000000000E+01
  1        55        14     1     1  0.42517954792720E+03
  1        55        14     2     1  0.42517954792738E+03
  1        55        14     3     1  0.42517954792738E+03
  1        55        14     4     1  0.42517954792742E+03
  1        55        14     5     1  0.42517954792738E+03
  1        59        15     0     1 -0.10000000000000E+01
  1        59        15     1     1  0.38165662354195E+03
  1        59        15     2     1  0.38165662354229E+03
  1        59        15     3     1  0.38165662354224E+03
  1        59        15     4     1  0.38165662354226E+03
  1        59        15     5     1  0.38165662354224E+03
  1        63        16     0     1 -0.10000000000000E+01
  1        63        16     1     1  0.34494124340407E+03
  1        63        16     2     1  0.34494124340377E+03
  1        63        16     3     1  0.34494124340371E+03
  1        63        16     4     1  0.34494124340373E+03
  1        63        16     5     1  0.34494124340373E+03
  1        67        17     0     1 -0.10000000000000E+01
  1        67        17     1     1  0.31365077942119E+03
  1        67        17     2     1  0.31365077942086E+03
  1        67        17     3     1  0.31365077942086E+03
  1        67        17     4     1  0.31365077942093E+03
  1        67        17     5     1  0.31365077942088E+03
  1        71        18     0     1 -0.10000000000000E+01
  1        71        18     1     1  0.28674919665157E+03
  1        71        18     2     1  0.28674919665162E+03
  1        71        18     3     1  0.28674919665167E+03
  1        71        18     4     1  0.28674919665169E+03
  1        71        18     5     1  0.28674919665159E+03
  1        75        19     0     1 -0.10000000000000E+01
  1        75        19     1     1  0.26344533043216E+03
  1        75        19     2     1  0.26344533043168E+03
  1        75        19     3     1  0.26344533043169E+03
  1        75        19     4     1  0.26344533043166E+03
  1        75        19     5     1  0.26344533043163E+03
  1        79        20     0     1 -0.10000000000000E+01
  1        79        20     1     1  0.24312450391535E+03
  1        79        20     2     1  0.24312450391513E+03
  1        79        20     3     1  0.24312450391514E+03
  1        79        20     4     1  0.24312450391512E+03
  1        79        20     5     1  0.24312450391512E+03
  1        83        21     0     1 -0.10000000000000E+01
  1        83        21     1     1  0.22530168345235E+03
  1        83        21     2     1  0.22530168345164E+03
  1        83        21     3     1  0.22530168345171E+03
  1        83        21     4     1  0.22530168345165E+03
  1        83        21     5     1  0.22530168345172E+03
  1        87        22     0     1 -0.10000000000000E+01
  1        87        22     1     1  0.20958879579131E+03
  1        87        22     2     1  0.20958879579096E+03
  1        87        22     3     1  0.20958879579097E+03
