 #level   step     block  iter  sweep   residual
  1         1         1     0     1 -0.10000000000000E+01
  1         1         1     1     1  0.19292655537806E+06
  1         1         1     2     1  0.19292655537804E+06
  1         1         1     3     1  0.19292655537804E+06
  1         1         1     4     1  0.19292655537804E+06
  1         1         1     5     1  0.19292655537804E+06
  1         1         1     6     1  0.19292655537804E+06
  1         1         1     7     1  0.19292655537804E+06
  1         1         1     8     1  0.19292655537804E+06
  1         1         1     9     1  0.19292655537804E+06
  1         1         1    10     1  0.19292655537804E+06
  1         3         2     0     1 -0.10000000000000E+01
  1         3         2     1     1  0.43340538002471E+05
  1         3         2     2     1  0.43340538002478E+05
  1         3         2     3     1  0.43340538002478E+05
  1         3         2     4     1  0.43340538002478E+05
  1         3         2     5     1  0.43340538002478E+05
  1         3         2     6     1  0.43340538002478E+05
  1         3         2     7     1  0.43340538002478E+05
  1         3         2     8     1  0.43340538002478E+05
  1         3         2     9     1  0.43340538002478E+05
  1         3         2    10     1  0.43340538002478E+05
  1         5         3     0     1 -0.10000000000000E+01
  1         5         3     1     1  0.16662840658059E+05
  1         5         3     2     1  0.16662840658211E+05
  1         5         3     3     1  0.16662840658211E+05
  1         5         3     4     1  0.16662840658211E+05
  1         5         3     5     1  0.16662840658211E+05
  1         5         3     6     1  0.16662840658211E+05
  1         5         3     7     1  0.16662840658211E+05
  1         5         3     8     1  0.16662840658211E+05
  1         5         3     9     1  0.16662840658211E+05
  1         5         3    10     1  0.16662840658211E+05
  1         7         4     0     1 -0.10000000000000E+01
  1         7         4     1     1  0.99023862269825E+04
  1         7         4     2     1  0.99023862270368E+04
  1         7         4     3     1  0.99023862270368E+04
  1         7         4     4     1  0.99023862270367E+04
  1         7         4     5     1  0.99023862270367E+04
  1         7         4     6     1  0.99023862270368E+04
  1         7         4     7     1  0.99023862270367E+04
  1         7         4     8     1  0.99023862270367E+04
  1         7         4     9     1  0.99023862270367E+04
  1         7         4    10     1  0.99023862270368E+04
  1         9         5     0     1 -0.10000000000000E+01
  1         9         5     1     1  0.68406860064852E+04
  1         9         5     2     1  0.68406860064859E+04
  1         9         5     3     1  0.68406860064861E+04
  1         9         5     4     1  0.68406860064860E+04
  1         9         5     5     1  0.68406860064860E+04
  1         9         5     6     1  0.68406860064860E+04
