         1         1  0.10000000000000E+02
         3         2  0.10000000000000E+02
         5         3  0.10000000000000E+02
         7         4  0.10000000000000E+02
         9         5  0.10000000000000E+02
        11         6  0.10000000000000E+02
        13         7  0.10000000000000E+02
        15         8  0.10000000000000E+02
        17         9  0.10000000000000E+02
        19        10  0.10000000000000E+02
        21        11  0.10000000000000E+02
        23        12  0.10000000000000E+02
        25        13  0.10000000000000E+02
        27        14  0.10000000000000E+02
        29        15  0.10000000000000E+02
        31        16  0.10000000000000E+02
        33        17  0.10000000000000E+02
        35        18  0.10000000000000E+02
        37        19  0.10000000000000E+02
        39        20  0.10000000000000E+02
        41        21  0.10000000000000E+02
        43        22  0.10000000000000E+02
        45        23  0.10000000000000E+02
        47        24  0.10000000000000E+02
        49        25  0.10000000000000E+02
