         1         1  0.50000000000000E+01
         5         2  0.50000000000000E+01
         9         3  0.50000000000000E+01
        13         4  0.50000000000000E+01
        17         5  0.50000000000000E+01
        21         6  0.50000000000000E+01
        25         7  0.50000000000000E+01
        29         8  0.50000000000000E+01
        33         9  0.50000000000000E+01
        37        10  0.50000000000000E+01
        41        11  0.50000000000000E+01
        45        12  0.50000000000000E+01
        49        13  0.50000000000000E+01
        53        14  0.50000000000000E+01
        57        15  0.50000000000000E+01
        61        16  0.50000000000000E+01
        65        17  0.50000000000000E+01
        69        18  0.50000000000000E+01
        73        19  0.50000000000000E+01
        77        20  0.50000000000000E+01
        81        21  0.50000000000000E+01
        85        22  0.50000000000000E+01
        89        23  0.50000000000000E+01
        93        24  0.50000000000000E+01
        97        25  0.50000000000000E+01
