 #level   step     block  iter  sweep   residual
  1         1         1     0     1 -0.10000000000000E+01
  1         1         1     1     1  0.19292655537806E+06
  1         1         1     2     1  0.19292655537804E+06
  1         1         1     3     1  0.19292655537804E+06
  1         1         1     4     1  0.19292655537804E+06
  1         1         1     5     1  0.19292655537804E+06
  1         5         2     0     1 -0.10000000000000E+01
  1         5         2     1     1  0.15996858524820E+05
  1         5         2     2     1  0.15996858525022E+05
  1         5         2     3     1  0.15996858525022E+05
  1         5         2     4     1  0.15996858525022E+05
  1         5         2     5     1  0.15996858525022E+05
  1         9         3     0     1 -0.10000000000000E+01
  1         9         3     1     1  0.67235293329563E+04
  1         9         3     2     1  0.67235293329570E+04
  1         9         3     3     1  0.67235293329570E+04
  1         9         3     4     1  0.67235293329569E+04
  1         9         3     5     1  0.67235293329570E+04
  1        13         4     0     1 -0.10000000000000E+01
  1        13         4     1     1  0.38691739542484E+04
  1        13         4     2     1  0.38691739542489E+04
  1        13         4     3     1  0.38691739542489E+04
  1        13         4     4     1  0.38691739542489E+04
  1        13         4     5     1  0.38691739542489E+04
  1        17         5     0     1 -0.10000000000000E+01
  1        17         5     1     1  0.25672154711873E+04
  1        17         5     2     1  0.25672154711878E+04
  1        17         5     3     1  0.25672154711879E+04
  1        17         5     4     1  0.25672154711879E+04
  1        17         5     5     1  0.25672154711878E+04
  1        21         6     0     1 -0.10000000000000E+01
  1        21         6     1     1  0.18677216096694E+04
  1        21         6     2     1  0.18677216096695E+04
  1        21         6     3     1  0.18677216096695E+04
  1        21         6     4     1  0.18677216096695E+04
  1        21         6     5     1  0.18677216096695E+04
  1        25         7     0     1 -0.10000000000000E+01
  1        25         7     1     1  0.14552343254089E+04
  1        25         7     2     1  0.14552343254094E+04
  1        25         7     3     1  0.14552343254094E+04
  1        25         7     4     1  0.14552343254094E+04
  1        25         7     5     1  0.14552343254094E+04
  1        29         8     0     1 -0.10000000000000E+01
  1        29         8     1     1  0.12001155308464E+04
  1        29         8     2     1  0.12001155308468E+04
  1        29         8     3     1  0.12001155308468E+04
  1        29         8     4     1  0.12001155308468E+04
  1        29         8     5     1  0.12001155308468E+04
  1        33         9     0     1 -0.10000000000000E+01
  1        33         9     1     1  0.10420969806839E+04
  1        33         9     2     1  0.10420969806841E+04
