         2         1  0.50000000000000E+01
         6         2  0.50000000000000E+01
        10         3  0.50000000000000E+01
        14         4  0.50000000000000E+01
        18         5  0.50000000000000E+01
        22         6  0.50000000000000E+01
        26         7  0.50000000000000E+01
        30         8  0.50000000000000E+01
        34         9  0.50000000000000E+01
        38        10  0.50000000000000E+01
        42        11  0.50000000000000E+01
        46        12  0.50000000000000E+01
        50        13  0.50000000000000E+01
        54        14  0.50000000000000E+01
        58        15  0.50000000000000E+01
        62        16  0.50000000000000E+01
        66        17  0.50000000000000E+01
        70        18  0.50000000000000E+01
        74        19  0.50000000000000E+01
        78        20  0.50000000000000E+01
        82        21  0.50000000000000E+01
        86        22  0.50000000000000E+01
        90        23  0.50000000000000E+01
        94        24  0.50000000000000E+01
        98        25  0.50000000000000E+01
