 #level   step     block  iter  sweep   residual
  1         2         1     0     1 -0.10000000000000E+01
  1         2         1     1     1  0.11846238170890E+04
  1         2         1     2     1  0.11846238170890E+04
  1         2         1     3     1  0.11846238170890E+04
  1         2         1     4     1  0.11846238170890E+04
  1         2         1     5     1  0.11846238170890E+04
  1         4         2     0     1 -0.10000000000000E+01
  1         4         2     1     1  0.11855044639354E+04
  1         4         2     2     1  0.11855044639354E+04
  1         4         2     3     1  0.11855044639354E+04
  1         4         2     4     1  0.11855044639354E+04
  1         4         2     5     1  0.11855044639354E+04
  2         2         1     0     1  0.59232112592274E+03
  2         2         1     1     1  0.11846238170890E+04
  2         2         1     2     1  0.11846238170890E+04
  2         2         1     3     1  0.11846238170890E+04
  2         2         1     4     1  0.11846238170890E+04
  2         2         1     5     1  0.59232112592274E+03
  2         4         2     0     1  0.59277989813659E+03
  2         4         2     1     1  0.11855044639355E+04
  2         4         2     2     1  0.11855044639355E+04
  2         4         2     3     1  0.11855044639355E+04
  2         4         2     4     1  0.11855044639355E+04
  2         4         2     5     1  0.59277989813659E+03
