         2         1  0.10000000000000E+02
         4         2  0.10000000000000E+01
         6         3  0.10000000000000E+01
         8         4  0.10000000000000E+01
        10         5  0.10000000000000E+01
        12         6  0.10000000000000E+01
        14         7  0.10000000000000E+01
        16         8  0.10000000000000E+01
        18         9  0.10000000000000E+01
        20        10  0.10000000000000E+01
        22        11  0.10000000000000E+01
        24        12  0.10000000000000E+01
        26        13  0.10000000000000E+01
        28        14  0.10000000000000E+01
        30        15  0.10000000000000E+01
        32        16  0.10000000000000E+01
        34        17  0.10000000000000E+01
        36        18  0.10000000000000E+01
        38        19  0.10000000000000E+01
        40        20  0.10000000000000E+01
        42        21  0.10000000000000E+01
        44        22  0.10000000000000E+01
        46        23  0.10000000000000E+01
        48        24  0.10000000000000E+01
        50        25  0.10000000000000E+01
        52        26  0.10000000000000E+01
        54        27  0.10000000000000E+01
        56        28  0.10000000000000E+01
        58        29  0.10000000000000E+01
        60        30  0.10000000000000E+01
        62        31  0.10000000000000E+01
        64        32  0.10000000000000E+01
